corpus,drama,Entity.surface,Entity.id,Entity.group_members
qd,vnj5.0,sheriff,30,
qd,vnj5.0,northumberland,21,
qd,vnj5.0,bardolph,0,
qd,vnj5.0,erster_kärrner,15,
qd,vnj5.0,bote_3,5,
qd,vnj5.0,lady_percy,18,
qd,vnj5.0,kellner,14,
qd,vnj5.0,zweiter_kärrner,16,
qd,vnj5.0,westmoreland,33,
qd,vnj5.0,edelmann,7,
qd,vnj5.0,mortimer,19,
qd,vnj5.0,könig_heinrich,17,
qd,vnj5.0,prinz_johann,26,
qd,vnj5.0,vernon,32,
qd,vnj5.0,die_räuber,29,
qd,vnj5.0,blunt,2,
qd,vnj5.0,douglas,6,
qd,vnj5.0,poins,24,
qd,vnj5.0,peto,23,
qd,vnj5.0,worcester,35,
qd,vnj5.0,hausknecht,13,
qd,vnj5.0,percy,22,
qd,vnj5.0,gadshill,11,
qd,vnj5.0,erzbischof,8,
qd,vnj5.0,falstaff,9,
qd,vnj5.0,stallknecht,31,
qd,vnj5.0,erster_reisender,27,
qd,vnj5.0,bote_1,3,
qd,vnj5.0,franz,10,
qd,vnj5.0,lady_mortimer,20,
qd,vnj5.0,die_reisenden,28,
qd,vnj5.0,glendower,12,
qd,vnj5.0,bedienter,1,
qd,vnj5.0,bote_2,4,
qd,vnj5.0,wirtin,34,
qd,vnj5.0,prinz_heinrich,25,
